Any,Indicador,Nom_Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Tipus_Us,Tipus_Equipament,Ambit,Latitud,Longitud
2022,Num_Exposicions_Temporals,CosmoCaixa,2,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Privada,"Centres patrimonials","Museus i col·leccions",Ciència,41.413267367,2.130658424
2022,Visitants,CosmoCaixa,818940,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Privada,"Centres patrimonials","Museus i col·leccions",Ciència,41.413267367,2.130658424
2022,Visites_Exposicions_Temporals,CosmoCaixa,516008,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Privada,"Centres patrimonials","Museus i col·leccions",Ciència,41.413267367,2.130658424
2022,Num_Exposicions_Temporals,"Disseny Hub Barcelona. DHUB",3,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres d'exposicions","Centres d'exposicions","Multidisciplinaris i altres",41.402807184501505,2.187759434220152
2022,Visitants,"Disseny Hub Barcelona. DHUB",101927,"Inclou els 21.000 assistents als 3 dies d'activitat del Festival Llum Barcelona 2022 i a la sessió ""Beat BCN"" del mes de febrer.",,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres d'exposicions","Centres d'exposicions","Multidisciplinaris i altres",41.402807184501505,2.187759434220152
2022,Visites_Exposicions_Temporals,"Disseny Hub Barcelona. DHUB",62420,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres d'exposicions","Centres d'exposicions","Multidisciplinaris i altres",41.402807184501505,2.187759434220152
2022,Num_Exposicions_Temporals,"El Born Centre de Cultura i Memòria",3,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.385641483,2.183568044
2022,Visitants,"El Born Centre de Cultura i Memòria",752121,"Del total de visitants s'han descomptat les persones que passen pel Born Centre de Cultura i Memòria però que no en fan cap ús cultural (un 15%, segons enquestes de públic 2015-2018).",,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.385641483,2.183568044
2022,Visites_Exposicions_Temporals,"El Born Centre de Cultura i Memòria",24351,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.385641483,2.183568044
2022,Visitants,"Espai Bombers Parc de la Prevenció",12709,,"L'Espai Bombers Parc de la Prevenció es va inaugurar l'11 de novembre de 2016",03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.373639,2.1543788
2022,Visitants,"Espais patrimonials del MUHBA",334442,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Espais d'interès patrimonial","Història i memòria",,
2022,Num_Exposicions_Temporals,"Espais VolART i VolART2. Fundació Vila Casas",3,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.390963134,2.175293998
2022,Visitants,"Espais VolART i VolART2. Fundació Vila Casas",15942,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.390963134,2.175293998
2022,Visites_Exposicions_Temporals,"Espais VolART i VolART2. Fundació Vila Casas",15942,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.390963134,2.175293998
2022,Num_Exposicions_Temporals,"Fabra i Coats - Centre d'Art Contemporani",6,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.433762956,2.190815632
2022,Visitants,"Fabra i Coats - Centre d'Art Contemporani",9951,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.433762956,2.190815632
2022,Visites_Exposicions_Temporals,"Fabra i Coats - Centre d'Art Contemporani",8268,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Centres d'exposicions","Centres d'exposicions","Arts visuals",41.433762956,2.190815632
